time,x,y,z,vx,vy,vz,roll,pitch,yaw,wx,wy,wz,aoa,mass
0.110000,0.031570,0.000000,0.114317,0.574611,0.000000,2.082035,-80.000008,-0.000000,0.000000,0.000000,0.000015,-0.000000,5.414171,198.800000
0.210000,0.110677,0.000000,0.401160,1.056065,0.000000,3.832101,-79.999752,-0.000009,0.000009,0.000000,0.000099,-0.000001,5.379511,197.800000
0.310000,0.238036,0.000000,0.863630,1.539899,0.000002,5.595961,-79.998714,-0.000068,0.000067,0.000000,0.000311,-0.000004,5.344120,196.800000
0.410000,0.413887,0.000000,1.503110,2.026151,0.000005,7.373728,-79.996008,-0.000281,0.000277,0.000000,0.000710,-0.000011,5.307374,195.800000
0.510000,0.638475,0.000001,2.320997,2.514910,0.000011,9.165505,-79.990410,-0.000846,0.000833,0.000000,0.001354,-0.000026,5.268420,194.800000
0.610000,0.912057,0.000003,3.318696,3.006335,0.000017,10.971387,-79.980371,-0.002084,0.002053,0.000000,0.002299,-0.000054,5.226182,193.800000
0.710000,1.234910,0.000004,4.497620,3.500668,0.000019,12.791452,-79.964026,-0.004472,0.004404,0.000000,0.003600,-0.000099,5.179368,192.800000
0.810000,1.607340,0.000006,5.859191,3.998258,0.000009,14.625761,-79.939206,-0.008658,0.008525,0.000000,0.005306,-0.000168,5.126486,191.800000
0.910000,2.029692,0.000006,7.404836,4.499569,-0.000027,16.474356,-79.903467,-0.015487,0.015249,0.000000,0.007463,-0.000267,5.065863,190.800000
1.010000,2.502364,-0.000000,9.135984,5.005204,-0.000113,18.337255,-79.854119,-0.026007,0.025605,0.000000,0.010111,-0.000405,4.995672,189.800000
1.110000,3.025821,-0.000019,11.054066,5.515918,-0.000282,20.214447,-79.788259,-0.041462,0.040817,0.000000,0.013283,-0.000589,4.913961,188.800000
1.210000,3.600611,-0.000059,13.160508,6.032630,-0.000582,22.105890,-79.702827,-0.063277,0.062283,0.000000,0.017000,-0.000827,4.818696,187.800000
1.310000,4.227382,-0.000137,15.456733,6.556434,-0.001075,24.011509,-79.594664,-0.093014,0.091536,0.000000,0.021273,-0.001130,4.707814,186.800000
1.410000,4.906898,-0.000277,17.944154,7.088610,-0.001844,25.931188,-79.460586,-0.132320,0.130188,0.000000,0.026097,-0.001505,4.579282,185.800000
1.510000,5.640062,-0.000509,20.624171,7.630624,-0.002994,27.864771,-79.297473,-0.182852,0.179854,0.000000,0.031452,-0.001960,4.431171,184.800000
1.610000,6.427930,-0.000879,23.498163,8.184133,-0.004656,29.812052,-79.102372,-0.246187,0.242067,0.000000,0.037297,-0.002503,4.261741,183.800000
1.710000,7.271733,-0.001443,26.567491,8.750973,-0.006989,31.772779,-78.872611,-0.323729,0.318181,0.000000,0.043570,-0.003139,4.069538,182.800000
1.810000,8.172893,-0.002278,29.833486,9.333148,-0.010183,33.746645,-78.605932,-0.416620,0.409284,0.000000,0.050186,-0.003873,3.853499,181.800000
1.910000,9.133039,-0.003479,33.297446,9.932810,-0.014464,35.733289,-78.300633,-0.525665,0.516121,0.000000,0.057031,-0.004706,3.613068,180.800000
2.020000,10.259544,-0.005367,37.337953,10.615346,-0.020739,37.932855,-77.919029,-0.664749,0.652220,0.000000,0.064660,-0.005734,3.320526,179.700000
2.130000,11.462450,-0.008043,41.621134,11.324915,-0.029038,40.146744,-77.489379,-0.823825,0.807647,0.000000,0.072179,-0.006873,2.999720,178.600000
2.240000,12.744890,-0.011751,46.148531,12.064677,-0.039810,42.374254,-77.013048,-1.002258,0.981680,0.000000,0.079329,-0.008108,2.653090,177.500000
2.350000,14.110341,-0.016788,50.921604,12.837730,-0.053551,44.614624,-76.493101,-1.198877,1.173066,0.000000,0.085826,-0.009419,2.284541,176.400000
2.460000,15.562613,-0.023506,55.941729,13.647001,-0.070800,46.867058,-75.934470,-1.412081,1.380127,0.000000,0.091360,-0.010778,1.899622,175.300000
2.570000,17.105825,-0.032321,61.210191,14.495117,-0.092131,49.130756,-75.344053,-1.639965,1.600888,0.000000,0.095618,-0.012149,1.505729,174.200000
2.680000,18.744364,-0.043710,66.728192,15.384278,-0.118137,51.404960,-74.730716,-1.880440,1.833209,0.000000,0.098293,-0.013490,1.112559,173.100000
2.790000,20.482833,-0.058219,72.496853,16.316117,-0.149416,53.689004,-74.105177,-2.131356,2.074899,0.000000,0.099113,-0.014752,0.733864,172.000000
2.900000,22.325981,-0.076456,78.517229,17.291582,-0.186554,55.982371,-73.479747,-2.390575,2.323813,0.000000,0.097858,-0.015884,0.398172,170.900000
3.010000,24.278621,-0.099093,84.790328,18.310817,-0.230097,58.284764,-72.867910,-2.656037,2.577904,0.000000,0.094390,-0.016832,0.237097,169.800000
3.120000,26.345539,-0.126861,91.317139,19.373088,-0.280535,60.596164,-72.283745,-2.925772,2.835257,0.000000,0.088681,-0.017546,0.403696,168.700000
3.230000,28.531395,-0.160539,98.098666,20.476732,-0.338274,62.916882,-71.741181,-3.197899,3.094076,0.000000,0.080830,-0.017981,0.625815,167.600000
3.340000,30.840619,-0.200946,105.135964,21.619167,-0.403612,65.247599,-71.253133,-3.470587,3.352660,-0.000000,0.071084,-0.018103,0.805885,166.500000
3.450000,33.277313,-0.248928,112.430182,22.796957,-0.476725,67.589369,-70.830540,-3.742008,3.609349,-0.000000,0.059845,-0.017896,0.923786,165.400000
3.560000,35.845164,-0.305343,119.982603,24.005934,-0.557649,69.943598,-70.481396,-4.010279,3.862466,-0.000000,0.047667,-0.017361,0.972146,164.300000
3.670000,38.547372,-0.371046,127.794681,25.241401,-0.646273,72.311982,-70.209842,-4.273409,4.110255,-0.000000,0.035234,-0.016524,0.949474,163.200000
3.780000,41.386602,-0.446874,135.868066,26.498387,-0.742348,74.696408,-70.015432,-4.529262,4.350842,-0.000000,0.023324,-0.015436,0.859254,162.100000
3.890000,44.364975,-0.533627,144.204620,27.771965,-0.845493,77.098827,-69.892680,-4.775563,4.582214,-0.000000,0.012752,-0.014171,0.709793,161.000000
4.000000,47.484082,-0.632061,152.806416,29.057602,-0.955229,79.521102,-69.831001,-5.009956,4.802271,-0.000000,0.004304,-0.012826,0.513962,159.900000
4.110000,50.745053,-0.742873,161.675723,30.351523,-1.071012,81.964855,-69.815124,-5.230146,5.008945,-0.000000,-0.001351,-0.011513,0.288635,158.800000
4.220000,54.148654,-0.866700,170.814970,31.651054,-1.192287,84.431327,-69.826044,-5.434141,5.200416,-0.000000,-0.003739,-0.010350,0.055757,157.700000
4.330000,57.695423,-1.004113,180.226699,32.954929,-1.318443,86.921253,-69.842227,-5.622510,5.377238,-0.000000,-0.002690,-0.009597,0.173785,156.600000
4.440000,61.385840,-1.155646,189.913500,34.263371,-1.449348,89.434814,-69.842636,-5.793569,5.537821,-0.000000,0.001699,-0.009023,0.367455,155.500000
4.550000,65.220483,-1.321799,199.877962,35.578237,-1.584621,91.971601,-69.807223,-5.947112,5.681947,-0.000000,0.008902,-0.008855,0.513226,154.400000
4.660000,69.200211,-1.503046,210.122594,36.902829,-1.724182,94.530666,-69.720378,-6.085531,5.811827,0.000000,0.018068,-0.009115,0.598121,153.300000
4.770000,73.326309,-1.699864,220.649783,38.241572,-1.868163,97.110624,-69.572669,-6.212824,5.931177,0.000000,0.028064,-0.009777,0.616017,152.200000
4.880000,77.600581,-1.912754,231.461744,39.599521,-2.016915,99.709818,-69.362309,-6.334238,6.044882,0.000000,0.037597,-0.010760,0.568573,151.100000
4.990000,82.025397,-2.142267,242.560508,40.981751,-2.170975,102.326529,-69.095765,-6.455623,6.158380,0.000000,0.045371,-0.011941,0.465559,150.000000
5.100000,86.603659,-2.389018,253.947921,42.392687,-2.331015,104.959217,-68.787266,-6.582606,6.276883,0.000000,0.050279,-0.013159,0.324449,148.900000
5.210000,91.338695,-2.653703,265.625681,43.835481,-2.497765,107.606774,-68.457128,-6.719790,6.404627,0.000000,0.051577,-0.014246,0.171173,147.800000
5.320000,96.234097,-2.937095,277.595393,45.311533,-2.671921,110.268735,-68.128992,-6.870134,6.544306,0.000000,0.049046,-0.015042,0.074588,146.700000
5.430000,101.293513,-3.240038,289.858651,46.820254,-2.854056,112.945418,-67.826290,-7.034593,6.696760,0.000000,0.043062,-0.015432,0.148264,145.600000
5.540000,106.520427,-3.563432,302.417122,48.359132,-3.044539,115.637950,-67.568458,-7.212033,6.860919,0.000000,0.034586,-0.015361,0.220935,144.500000
5.650000,111.917966,-3.908202,315.272635,49.924128,-3.243489,118.348139,-67.367539,-7.399385,7.033963,-0.000000,0.025036,-0.014854,0.242581,143.400000
5.760000,117.488761,-4.275275,328.427243,51.510356,-3.450764,121.078218,-67.225889,-7.592021,7.211666,-0.000000,0.016057,-0.014012,0.209564,142.300000
5.870000,123.234902,-4.665551,341.883249,53.112964,-3.666002,123.830472,-67.135540,-7.784330,7.388918,-0.000000,0.009220,-0.013004,0.131321,141.200000
5.980000,129.157978,-5.079881,355.643194,54.727741,-3.888769,126.606967,-67.079285,-7.970321,7.560258,-0.000000,0.006118,-0.011951,0.027993,140.100000
6.090000,135.259218,-5.519081,369.709809,56.353576,-4.118630,129.408495,-67.033083,-8.140790,7.717241,-0.000000,0.005955,-0.010909,0.082873,139.000000
6.200000,141.539809,-5.983869,384.085877,57.989536,-4.354517,132.235829,-66.977653,-8.296677,7.860744,0.000000,0.009714,-0.010683,0.173593,137.900000
6.310000,148.000952,-6.474911,398.774218,59.637979,-4.596546,135.088288,-66.890869,-8.440673,7.993232,0.000000,0.015944,-0.010949,0.227474,136.800000
6.420000,154.644200,-6.992890,413.777534,61.302787,-4.844909,137.964535,-66.761399,-8.575725,8.117391,0.000000,0.022998,-0.011624,0.235033,135.700000
6.530000,161.471587,-7.538524,429.098356,62.988638,-5.100091,140.862851,-66.589045,-8.706543,8.237521,0.000000,0.029038,-0.012526,0.198441,134.600000
6.640000,168.485651,-8.112597,444.739028,64.699872,-5.362772,143.781618,-66.384734,-8.838484,8.358508,0.000000,0.032494,-0.013419,0.131342,133.500000
6.750000,175.689349,-8.715969,460.701740,66.439389,-5.633678,146.719799,-66.167626,-8.976206,8.484590,0.000000,0.032485,-0.014067,0.059434,132.400000
6.860000,183.085866,-9.349644,476.988602,68.207900,-5.914774,149.677204,-65.961959,-9.112285,8.608968,-0.000000,0.029049,-0.012685,0.050038,131.300000
6.970000,190.678258,-10.014624,493.601808,70.003436,-6.202932,152.655182,-65.782248,-9.239752,8.725295,-0.000000,0.023733,-0.012648,0.084708,130.200000
